Spanish,English,Portuguese
que,what,o que
no,no,não
a,to,para
la,the,a
en,in,em
un,a,uma
qué,what,o que
me,I,eu
te,tea,chá
los,the,a
con,with,com
para,for,pra
si,Yes,sim
bien,good,Boa
pero,but,mas
eso,that,isso
aquí,here,aqui
del,of,de
le,you,vocês
ya,already,já
esta,is,Está
estoy,I'm,Eu estou
tú,your,seu
nada,nothing,nenhuma coisa
cuando,when,quando
ha,he has,ele tem
este,this,esta
estás,are,estamos
así,So,Então
cómo,as,como
quiero,I want,quero
sólo,single,solteiro
soy,am,sou
gracias,Thank you,Obrigado
bueno,Okay,OK
eres,are,estamos
vez,time,Tempo
ella,she,ela
puede,can,posso
sabes,know,conhecer
hola,Hello,Olá
porque,because,Porque
nunca,never,Nunca
quieres,you want,você quer
favor,favor,Favor
tiempo,weather,clima
mejor,better,Melhor
hombre,men,homens
mucho,a lot of,um monte de
hace,make,faço
entonces,then,então
tenemos,we have,temos
puedes,you can,você pode
ahí,there,lá
vida,lifetime,vida
ver,watch,Assistir
mí,my,minha
solo,only,só
sobre,on,sobre
decir,tell,contar
uno,one,1
oh,oh,Oh
cosas,things,as coisas
también,as well,também
antes,before,antes
has,you,vocês
mis,my,minha
estar,be,estar
nadie,no one,ninguém
otra,other,outro
quiere,wants,quer
poco,little,pouco
gente,people,pessoas
mira,look,olhar
les,them,eles
dinero,money,dinheiro
otro,other,outro
claro,Clear,Claro
estas,these,esses
mundo,world,mundo
espera,wait,esperar
mierda,shit,merda
tus,your,seu
desde,since,Desde a
tipo,kind,Gentil
dije,said,disse
gran,big,grande
estado,condition,doença
podría,might,poderia
papá,dad,Papai
mío,Own,Ter
gusta,like,gosta
nuevo,new,novo
será,will be,será
haciendo,doing,fazendo
nombre,Name,Nome
