Spanish,English,Portuguese
que,what,o que
de,of,de
no,no,não
a,to,para
la,the,a
el,the,o
es,is,é
y,and,and
en,in,em
lo,it,isto
un,a,uma
por,for,pra
qué,what,o que
me,I,eu
una,a,uma
te,tea,chá
los,the,a
se,I know,eu sei
con,with,com
para,for,pra
mi,me,mim
está,is,Está
si,Yes,sim
bien,good,Boa
pero,but,mas
yo,me,mim
eso,that,isso
las,the,as
sí,Yes,sim
su,its,Está
tu,you,vocês
aquí,here,aqui
del,of,de
al,to the,ao
como,What,O que
le,you,vocês
más,plus,mais
esto,this,esta
ya,already,já
todo,everything,tudo
esta,is,Está
vamos,we go,nós vamos
muy,very,muito
hay,there are,existem
ahora,now,agora
algo,something,algo
estoy,I'm,Eu estou
tengo,I have,eu tenho
nos,us,nós
tú,your,seu
nada,nothing,nenhuma coisa
cuando,when,quando
ha,he has,ele tem
este,this,esta
sé,he,ele
estás,are,estamos
así,So,Então
puedo,may l,Posso
cómo,as,como
quiero,I want,quero
sólo,single,solteiro
soy,am,sou
tiene,It has,Tem
gracias,Thank you,Obrigado
o,or,ou
él,he,ele
bueno,Okay,OK
fue,it was,isso foi
ser,to be,ser estar
hacer,do,Faz
son,are,estamos
todos,everybody,todo o mundo
era,it was,isso foi
eres,are,estamos
vez,time,Tempo
tienes,have,ter
creo,I think,eu acho que
ella,she,ela
he,I,eu
ese,that,esse
voy,I go,eu vou
puede,can,posso
sabes,know,conhecer
hola,Hello,Olá
sus,their,deles
porque,because,Porque
dios,God,Deus
quién,who,quem
nunca,never,Nunca
dónde,where,Onde
quieres,you want,você quer
casa,home,casa
favor,favor,Favor
esa,this,esta
dos,two,dois
tan,so,então
señor,Mister,senhor
tiempo,weather,clima
verdad,true,verdade
estaba,was,estava
mejor,better,Melhor
están,is it so,estão
va,he,ele
hombre,men,homens
usted,you,vocês
mucho,a lot of,um monte de
hace,make,faço
entonces,then,então
siento,I feel,eu sinto
tenemos,we have,temos
puedes,you can,você pode
ahí,there,lá
ti,you,vocês
vida,lifetime,vida
ver,watch,Assistir
alguien,somebody,alguém
sr,Mr,Senhor
hasta,until,até
sin,without,sem
mí,my,minha
solo,only,só
años,years,anos
sobre,on,sobre
decir,tell,contar
uno,one,1
siempre,forever,para sempre
oh,oh,Oh
ir,to go,ir
cosas,things,as coisas
también,as well,também
antes,before,antes
has,you,vocês
ni,neither,nenhum
mis,my,minha
día,day,dia
estar,be,estar
estamos,we're,estamos
noche,night,noite
nadie,no one,ninguém
otra,other,outro
quiere,wants,quer
parece,It seems,Parece
nosotros,We,nós
poco,little,pouco
padre,dad,Papai
trabajo,job,trabalho
gente,people,pessoas
mira,look,olhar
vas,you go,Você vai
sea,be,estar
les,them,eles
donde,where,Onde
mismo,same,mesmo
hecho,done,feito
ellos,they,elas
dijo,He said,Ele disse
pasa,happens,acontece
dinero,money,dinheiro
hijo,child,criança
tal,such,tal
otro,other,outro
hablar,speak,falar
seguro,safe,seguro
claro,Clear,Claro
estas,these,esses
lugar,place,"Lugar, colocar"
mundo,world,mundo
amigo,friend,amigo
espera,wait,esperar
mierda,shit,merda
han,they have,eles têm
tus,your,seu
sabe,knows,sabe
después,then,então
momento,moment,momento
desde,since,Desde a
fuera,out of,fora de
cosa,thing,coisa
tipo,kind,Gentil
mañana,morning,Manhã
podemos,can,posso
dije,said,disse
gran,big,grande
necesito,needed,precisava
estado,condition,doença
podría,might,poderia
acuerdo,agreement,acordo
papá,dad,Papai
tener,to have,Ter
dice,He says,Ele diz
mío,Own,Ter
crees,think,acho
buena,good,Boa
gusta,like,gosta
nuestro,our,nosso
nuevo,new,novo
será,will be,será
haciendo,doing,fazendo
días,days,dias
nombre,Name,Nome
